war,ln_war,w_fastball_value,w_slider_value,w_curve_value,w_changeup_value,w_spliter_value,w_sinker_value,z_fastball_value,z_slider_value,z_curve_value,z_changeup_value,z_spliter_value,z_sinker_value
5.17,1.642872689,7.5168,1.725,0.288,0.316,0.3024,0.608,1.3499256,1.137578414,0.850536267,0.682854067,1.44527203,2.485112218
6.19,1.822935087,2.1168,1.9434,-0.1554,0.2109,0.1335,0.175,0.089985396,1.285836725,-0.679691854,0.425098324,0.53797502,0.391744924
4.39,1.479329227,8.9856,1.44,0.0855,0.0704,-0.0222,-0.0792,1.692629335,0.944109465,0.151683776,0.080524758,-0.29841423,-0.837201881
4.58,1.521698998,7.3124,-0.4991,0.1386,-0.5112,0.0297,0.288,1.30223453,-0.372226112,0.334938429,-1.345838133,-0.019617813,0.938050938
2.44,0.891998039,1.4544,-0.0546,-0.1078,0.5724,-0.29,-0.0522,-0.064567269,-0.070482435,-0.515418379,1.311670169,-1.736982254,-0.706668585
2.64,0.970778917,4.1202,1.1439,0.1744,-0.528,-0.052,0.203,0.557423212,0.743105409,0.458488647,-1.387039812,-0.458493868,0.527112786
6.93,1.935859813,5.9748,1.1193,0.6048,0.3,-0.132,0.3248,0.990142675,0.726405984,1.943852164,0.643614372,-0.888237863,1.115962985
3.89,1.358409158,0.3143,3.4069,-0.22,-0.1725,-0.1092,0.5814,-0.330577978,2.27931675,-0.902634426,-0.515182853,-0.765760825,2.356512749
5.22,1.652497402,1.6887,0.8208,0.08,-0.952,0.259,0.041,-0.009899863,0.523772716,0.132702597,-2.426891713,1.212135913,-0.256086988
2.65,0.97455964,-2.6973,-0.3036,0.0414,0.966,-0.1216,0.1512,-1.033251296,-0.239513202,-0.000510766,2.276966651,-0.832371144,0.276682241
3.6,1.280933845,6.2046,-0.1108,-0.4949,0.65,-0.1044,0.2349,1.04376013,-0.108633154,-1.851348252,1.501982687,-0.739976185,0.681335457
1.92,0.652325186,-3.7665,2.0296,-0.1444,-0.2808,-0.1224,0.073,-1.282719456,1.344352596,-0.641729496,-0.780786534,-0.836668584,-0.10138086
1.69,0.524728529,3.8016,-1.8216,-0.0075,0.504,0.21,0.027,0.48308674,-1.269989921,-0.169270701,1.143920476,0.948917716,-0.323770919
5.78,1.754403683,4.6748,2.3056,0.1012,0.2538,-0.0504,0.1235,0.686823737,1.531712,0.205866414,0.530309755,-0.449898988,0.142764749
3.28,1.187843422,1.791,-0.484,0.391,-0.0868,0.1947,0.1701,0.013969004,-0.361975652,1.206001978,-0.305005239,0.866729177,0.368055548
4.13,1.418277407,10.1094,-2.1829,0.3549,-0.042,-0.259,0.0549,1.954836891,-1.515254241,1.081416423,-0.195134095,-1.570456456,-0.188886513
1.85,0.615185639,-2.0784,-1.9488,0.33,-0.21,0.1098,0.0552,-0.888848149,-1.356338168,0.99548345,-0.607150886,0.410663362,-0.187436143
2.98,1.091923301,3.4496,-1.2243,0.189,0.2816,0.4096,-0.1027,0.400957304,-0.864519733,0.508875049,0.598488724,2.021128983,-0.950814194
4.25,1.446918983,9.66,-1.2936,0.171,0.348,0.0192,0.3024,1.849981867,-0.911563236,0.446754828,0.761333455,-0.076021713,1.007668696
2.8,1.029619417,4.8195,0.088,-0.594,-0.475,0.385,-0.3256,0.720585468,0.026319923,-2.193354582,-1.257058324,1.888982705,-2.028439067
4.12,1.415853163,4.531,-0.3332,0.3161,-0.1965,0.3286,0.1254,0.653271996,-0.259606819,0.947512835,-0.574042394,1.586013188,0.151950425
1.38,0.322083499,-3.2475,-4.1934,0.1494,-0.0318,0.0648,0.0342,-1.161625203,-2.880058882,0.372210562,-0.17011879,0.168932364,-0.28896204
4.78,1.564440547,8.4495,0.131,0.5922,0.2775,0.1848,-0.0056,1.567545272,0.055509975,1.900368009,0.588433552,0.813548357,-0.481377786
2.29,0.828551818,-5.6952,1.9188,0.296,0.1863,-0.043,-0.0228,-1.732728099,1.2691373,0.878145254,0.364767294,-0.410147669,-0.56453233
4.05,1.398716881,1.424,-1.0472,-0.0688,0.1196,0.2601,0.3306,-0.071660266,-0.744297449,-0.380824566,0.201186818,1.218044892,1.144003471
5.4,1.686398954,2.255,-0.119,0.078,0.0735,-0.126,0.2176,0.122230532,-0.114199629,0.125800351,0.088127449,-0.856007064,0.597697456
3.68,1.302912752,5.5626,2.664,0.2992,-0.846,0.4717,0.0366,0.893967239,1.775007689,0.889188849,-2.166928738,2.35471776,-0.27735908
3.69,1.305626458,-1.992,-1.7856,0.2289,0.57,0.195,-0.258,-0.868689106,-1.245551738,0.646574873,1.305784215,0.868340716,-1.701622371
2.03,0.708035793,-0.731,1.08,0.468,0.104,0.2002,0.1755,-0.574469736,0.699727634,1.471738481,0.162928116,0.896274076,0.394162207
3.48,1.247032294,-1.848,-2.047,0.0574,-0.198,-0.2856,0.221,-0.8350907,-1.4230001,0.054707208,-0.577721115,-1.713346334,0.614134983
3.89,1.358409158,2.052,0.2002,-0.23,0.1818,0.0336,0.0627,0.074866114,0.102485594,-0.93714566,0.35373113,0.001332206,-0.151176894
3.8,1.335001067,3.3704,-1.2054,-0.0918,0.5292,-0.0232,-0.0387,0.382478181,-0.851689687,-0.460200405,1.205722994,-0.30378603,-0.641401938
2.85,1.047318994,1.0764,1.7963,0.12,0.1128,0.15,-0.2904,-0.152763083,1.185979593,0.270747534,0.184509948,0.626609719,-1.858262326
2.39,0.871293366,7.486,-0.7598,-0.1708,-0.418,0.0236,0.6534,1.342739274,-0.549199288,-0.732839154,-1.117266913,-0.052385793,2.704601537
0.83,-0.186329578,1.001,-0.4148,-0.0504,-0.6834,0.1581,0.072,-0.170355582,-0.315000034,-0.317323895,-1.768155344,0.670121299,-0.106215426
1.55,0.438254931,-0.061,2.2484,0.2679,-0.4455,-0.0136,-0.0885,-0.418143822,1.492882442,0.781168686,-1.184710138,-0.252216751,-0.882163349
3.41,1.226712291,-3.045,-0.0699,-0.4641,0.1938,-0.1302,0.2574,-1.114377445,-0.080868663,-1.745053651,0.383160901,-0.878568624,0.790113203
1.26,0.231111721,-3.3966,0.1476,-0.4095,-0.1717,0.195,0.0999,-1.196413552,0.066778693,-1.556622313,-0.513220868,0.868340716,0.028668979
1.62,0.482426149,1.5092,-1.331,-0.2704,-0.0882,-0.192,0.2652,-0.051781209,-0.936951793,-1.076571046,-0.308438713,-1.21054586,0.827822822
2.08,0.732367894,-9.4248,1.5246,0.2432,-0.328,0.0259,0.0101,-2.6029268,1.001539195,0.695925938,-0.896543632,-0.040030653,-0.405475092
1.96,0.672944473,-1.411,0.1295,-0.6608,0.4917,-0.08,-0.1593,-0.733128873,0.054491718,-2.423889626,1.113754961,-0.608904267,-1.224450658
2.59,0.951657876,2.1504,-0.8917,0.2848,0.069,-0.0472,0.1504,0.097825024,-0.638738075,0.839492672,0.077091285,-0.432709229,0.272814588
3.35,1.208960346,-2.8152,1.2672,0.1827,0.3366,-0.0198,-0.3192,-1.06075999,0.826806186,0.487132972,0.733375173,-0.28552191,-1.997497841
3.04,1.111857515,-0.5512,-0.473,0.2697,0.6966,0.0858,0.2196,-0.532518394,-0.35450843,0.787380709,1.616268297,0.281740163,0.607366589
1.96,0.672944473,6.952,-1.6492,0.1183,0.2052,-0.3116,-0.063,1.218145187,-1.152958177,0.264880624,0.411119183,-1.853013132,-0.758881904
0.84,-0.174353387,-4.3362,0.9082,-0.1584,-0.45,-0.152,0.0075,-1.415643148,0.583103194,-0.690045224,-1.195746302,-0.995673862,-0.418044965
1.66,0.506817602,-0.2485,-0.0819,-0.0122,0.5406,-0.096,-0.0711,-0.461891745,-0.089014724,-0.185490981,1.233681277,-0.694853066,-0.798041892
3.18,1.156881197,3.1746,-0.896,0.0846,-0.2068,0.1428,0.1536,0.336793683,-0.641657081,0.148577765,-0.599302947,0.58793276,0.2882852
1.01,0.009950331,-3.8335,-0.2639,-0.0704,-0.1708,-0.209,0.1539,-1.298352047,-0.212563316,-0.386346364,-0.511013635,-1.301866459,0.28973557
1.88,0.631271777,2.7468,-0.0916,-0.5472,0.21,0.0871,-0.0852,0.23697842,-0.095599457,-2.031842006,0.422891091,0.288723503,-0.86620928
