no,name,team,position,game,plate,at_bats,runs_scored,hits,doubles,triples,homeruns,base_hits,runs_batted_hits,stolen_bases,caught_stealing,base_on_balls,hit_by_pitch,intentional_walks,strikeouts,ground_into_double_plays,sacrifice_hits,sacrifice_flies,batting_average,on_base_percentage,slugging_percentage,ops,w_oba,w_rcplus,war,spd,hr_ratio,bb_ratio,k_ratio,bbk_ratio,isop,isod,babip,spd,psn,w_rc,w_rc_27o,w_raa,w_oba_pf,w_rc_pf,w_rc_27o_pf,w_raa_pf
1,정은원,23한,2B,122,459,388,50,86,12,0,2,104,30,6,3,62,3,1,73,4,5,1,0.222,0.333,0.268,0.601,0.296,76.8,0.84,-1.3,0.44,13.5,15.9,0.85,0.046,0.111,0.268,3.9,3,41.2,3.53,-12.9,0.297,41.5,3.56,-12.6
2,김민석,23롯,CF,129,454,400,53,102,24,0,3,135,39,16,3,31,6,1,112,6,12,5,0.255,0.315,0.338,0.652,0.301,77.7,1.01,-2.04,0.66,6.8,24.7,0.28,0.083,0.059,0.341,4.9,5.05,42.4,3.54,-11,0.298,41.6,3.46,-11.9
3,류지혁,23K삼,3B,132,522,455,63,122,11,1,2,141,45,26,2,46,6,1,73,12,10,5,0.268,0.34,0.31,0.65,0.309,84.4,1.38,-1.92,0.38,8.8,14,0.63,0.042,0.072,0.312,5.4,3.71,52.2,3.89,-9.3,0.308,51.9,3.87,-9.6
4,김현준,23삼,CF,109,479,433,62,119,10,6,3,150,46,5,5,30,5,0,84,5,8,3,0.275,0.327,0.346,0.673,0.315,87.1,1.26,0.31,0.63,6.3,17.5,0.36,0.072,0.052,0.332,5.9,3.75,50.1,4.04,-6.3,0.312,49.2,3.96,-7.3
5,김주원,23N,SS,127,474,403,56,94,9,2,10,137,54,15,3,44,15,1,106,6,8,4,0.233,0.328,0.34,0.668,0.314,88.1,1.96,-0.27,2.11,9.3,22.4,0.42,0.107,0.095,0.289,5.4,12,49.4,4.04,-6.4,0.314,49.2,4.03,-6.6
6,최지훈,23S,CF,117,503,462,65,124,19,8,2,165,30,21,2,29,3,0,50,3,8,1,0.268,0.315,0.357,0.672,0.312,90.5,2.03,-1.13,0.4,5.8,9.9,0.58,0.089,0.047,0.297,7.8,3.65,51.5,3.95,-7.7,0.317,53.6,4.11,-5.7
7,문현빈,23한,CF,137,481,428,47,114,22,2,5,155,49,5,1,33,6,2,84,7,9,5,0.266,0.324,0.362,0.686,0.316,90.8,1.55,-0.21,1.04,6.9,17.5,0.39,0.096,0.058,0.317,4.3,5,50.8,4.08,-5.8,0.318,51.5,4.14,-5.2
8,이재현,23삼,SS,143,538,458,61,114,19,2,12,173,60,5,4,52,6,0,89,9,16,6,0.249,0.33,0.378,0.707,0.323,91.8,1.85,0.57,2.23,9.7,16.5,0.58,0.129,0.081,0.281,3.9,7.06,59.6,4.25,-3.7,0.319,58.2,4.14,-5.2
9,박해민,23L,CF,144,558,485,80,138,14,2,6,174,59,26,12,45,3,0,74,7,24,1,0.285,0.348,0.359,0.707,0.323,95.7,1.92,-0.26,1.08,8.1,13.3,0.61,0.074,0.064,0.325,5.7,9.75,62.1,4.29,-3.6,0.325,62.9,4.34,-2.8
10,김상수,23K,SS,129,512,443,58,120,19,1,3,150,56,5,6,55,3,0,68,9,8,3,0.271,0.353,0.339,0.692,0.329,96,2.29,-0.21,0.59,10.7,13.3,0.81,0.068,0.082,0.312,3.4,3.75,59.1,4.58,-1.2,0.325,57.9,4.48,-2.4
11,강승호,23두,2B,127,458,418,51,111,18,6,7,162,59,13,6,27,6,0,109,12,4,3,0.266,0.317,0.388,0.705,0.326,97.9,1.66,0.63,1.53,5.9,23.8,0.25,0.122,0.052,0.341,5.7,9.1,52,4.23,-2,0.328,52.8,4.3,-1.1
12,김재환,23두,DH,132,484,405,40,89,15,0,10,134,46,3,1,72,5,4,100,8,0,2,0.22,0.343,0.331,0.674,0.324,98.4,0.83,1.41,2.07,14.9,20.7,0.72,0.111,0.123,0.266,2.5,4.62,54,4.46,-3,0.329,56.1,4.63,-0.9
13,허경민,23두,3B,130,475,429,44,114,22,1,7,159,48,9,3,35,6,3,26,6,0,5,0.266,0.326,0.371,0.697,0.326,98.9,2.08,-0.83,1.47,7.4,5.5,1.35,0.105,0.061,0.267,4.2,7.88,53.8,4.41,-2.2,0.33,55.3,4.54,-0.6
14,최주환,23S,2B,134,478,426,48,100,24,0,20,184,63,0,0,43,5,4,94,6,1,3,0.235,0.31,0.432,0.742,0.337,101.4,1.62,1.6,4.18,9,19.7,0.46,0.197,0.076,0.254,2,0,58.3,4.68,2,0.333,57.1,4.59,0.8
15,박성한,23S,SS,128,529,459,53,122,19,0,9,168,47,4,1,58,1,1,56,7,7,4,0.266,0.347,0.366,0.713,0.334,101.8,2.8,1.53,1.7,11,10.6,1.04,0.1,0.081,0.284,3.3,5.54,63.3,4.8,1,0.334,63.4,4.81,1.1
16,김민혁,23K,RF,113,448,397,68,118,20,3,3,153,41,11,4,36,3,0,48,4,7,5,0.297,0.356,0.385,0.741,0.344,106.9,1.88,0.91,0.67,8,10.7,0.75,0.088,0.059,0.328,6,4.71,57.4,5.18,4.6,0.342,56.4,5.09,3.6
17,박찬호,23K,SS,130,507,452,73,136,18,4,3,171,52,30,8,40,2,0,56,13,7,6,0.301,0.356,0.378,0.734,0.342,108.4,3.69,1.25,0.59,7.9,11.1,0.71,0.077,0.055,0.333,6.3,5.46,64.1,4.95,4.4,0.344,64.7,4.99,5
18,피렐라,23삼,LF,139,605,557,66,159,28,1,16,237,80,6,4,42,4,5,69,20,0,2,0.285,0.339,0.425,0.764,0.352,110.8,2.44,0.03,2.65,6.9,11.4,0.61,0.14,0.053,0.302,2.8,8.73,81.3,5.18,10,0.347,79,5.03,7.7
19,정수빈,23두,CF,137,583,498,75,143,14,11,2,185,33,39,8,64,7,1,63,2,12,2,0.287,0.375,0.371,0.746,0.349,111,3.89,1.33,0.34,11,10.8,1.02,0.084,0.088,0.324,7.7,3.81,76.9,5.48,8.2,0.348,76.2,5.43,7.5
20,김선빈,23K,2B,119,472,418,41,134,16,0,0,150,48,3,1,38,5,0,26,10,8,3,0.321,0.382,0.359,0.74,0.351,113,2.59,1.24,0,8.1,5.5,1.46,0.038,0.061,0.339,2.7,0,62.8,5.54,7.2,0.351,62.8,5.54,7.2
21,김현수,23L,DH,133,556,488,53,143,22,2,6,187,88,2,1,58,1,4,53,10,1,8,0.293,0.364,0.383,0.747,0.35,114.1,1.69,1.61,1.08,10.4,9.5,1.09,0.09,0.071,0.314,3.2,3,73.7,5.45,8.2,0.352,74.7,5.53,9.2
22,장성우,23,KC,131,464,410,37,118,22,0,11,173,65,1,1,42,2,1,70,12,3,7,0.288,0.351,0.422,0.773,0.356,114.6,3.35,0.19,2.37,9.1,15.1,0.6,0.134,0.064,0.319,1.6,1.83,63.8,5.47,9.1,0.353,62.6,5.37,8
23,박동원,23,LC,130,481,409,54,102,17,1,20,181,75,0,1,49,7,3,90,7,8,8,0.249,0.334,0.443,0.777,0.348,116,3.41,1.09,4.16,10.2,18.7,0.54,0.193,0.085,0.267,2.5,0,62.9,5.13,6.2,0.355,65.7,5.36,9.1
24,채은성,23한,1B,137,596,521,71,137,17,0,23,223,84,0,0,52,20,8,102,16,0,3,0.263,0.351,0.428,0.779,0.358,118.6,2.64,2.17,3.86,8.7,17.1,0.51,0.165,0.088,0.286,1.6,0,83,5.56,12.8,0.359,83.2,5.58,13
25,안치홍,23롯,2B,121,494,425,57,124,20,1,8,170,63,3,3,49,10,3,53,14,5,5,0.292,0.374,0.4,0.774,0.36,119.1,2.85,1.97,1.62,9.9,10.7,0.93,0.108,0.082,0.314,2.7,4.36,69.5,5.72,11.3,0.36,69.3,5.7,11.1
26,황재균,23K,3B,109,457,407,62,120,26,2,6,168,49,3,3,45,1,1,64,15,3,1,0.295,0.366,0.413,0.778,0.363,119.2,3.18,1.89,1.31,9.9,14,0.7,0.118,0.071,0.337,3.3,4,65.3,5.7,11.4,0.36,64.2,5.61,10.3
27,오지환,23L,SS,126,502,422,65,113,24,3,8,167,62,16,7,64,8,0,82,4,4,4,0.268,0.372,0.396,0.767,0.36,121.9,3.89,1.95,1.59,12.8,16.3,0.78,0.128,0.104,0.313,5.6,10.67,70.7,5.82,11.6,0.364,72.1,5.93,12.9
28,문성주,23L,LF,136,534,449,77,132,21,4,2,167,57,24,14,67,8,0,34,10,6,4,0.294,0.392,0.372,0.764,0.363,122.3,2.98,0.59,0.38,12.6,6.4,1.97,0.078,0.098,0.312,5.7,3.69,76.4,5.88,13.5,0.364,76.9,5.92,14.1
29,박병호,23K,1B,132,493,431,53,122,15,0,18,191,87,2,0,46,8,2,114,9,0,8,0.283,0.357,0.443,0.8,0.368,122.7,2.39,2.79,3.65,9.3,23.1,0.4,0.16,0.074,0.339,2.5,3.6,72.5,6.01,14.5,0.365,71.2,5.9,13.2
30,추신수,23S,DH,112,462,382,65,96,17,1,12,151,40,6,4,65,13,1,79,8,0,2,0.251,0.377,0.395,0.772,0.367,123,1.96,0.89,2.6,14.1,17.1,0.82,0.144,0.125,0.287,3.8,8,67.3,6.06,12.9,0.365,66.9,6.02,12.5
31,양석환,23두,1B,140,581,524,73,147,28,0,21,238,89,4,0,40,6,2,133,9,0,11,0.281,0.332,0.454,0.786,0.358,124.1,2.65,1.64,3.61,6.9,22.9,0.3,0.174,0.052,0.331,3.5,6.72,80.6,5.48,12.2,0.367,84.9,5.78,16.5
32,박민우,23N,2B,124,509,452,76,143,20,7,2,183,46,26,7,40,9,3,57,13,5,3,0.316,0.381,0.405,0.786,0.366,124.2,4.05,1.52,0.39,7.9,11.2,0.7,0.089,0.065,0.356,6.8,3.71,73.9,5.92,14,0.367,74.4,5.96,14.5
33,강민호,23,삼C,125,495,434,60,126,19,0,16,193,77,6,1,49,6,4,65,17,1,5,0.29,0.366,0.445,0.811,0.373,124.6,3.8,1.34,3.23,9.9,13.1,0.75,0.154,0.076,0.307,2.8,8.73,74.6,6.07,16.3,0.368,72.6,5.91,14.3
34,소크라테스,23K,CF,142,608,547,91,156,31,3,20,253,96,15,6,52,1,4,80,13,0,8,0.285,0.344,0.463,0.806,0.366,125.7,4.58,1.92,3.29,8.6,13.2,0.65,0.177,0.059,0.299,5.1,17.14,88.6,5.72,17,0.369,90,5.81,18.4
35,마틴,23N,CF,118,503,435,55,123,20,2,17,198,90,15,3,57,1,2,107,8,0,10,0.283,0.36,0.455,0.815,0.373,126.5,3.48,1,3.38,11.3,21.3,0.53,0.172,0.077,0.33,4.7,15.94,75.7,6.14,16.5,0.371,74.9,6.08,15.7
36,알포드,23K,LF,133,547,491,83,142,31,3,15,224,70,17,4,47,6,1,140,6,0,3,0.289,0.357,0.456,0.813,0.375,126.9,3.28,0.61,2.74,8.6,25.6,0.34,0.167,0.067,0.375,6,15.94,83.3,6.21,18.9,0.371,81.8,6.1,17.4
37,문보경,23L,3B,131,542,469,77,141,29,5,10,210,72,9,9,58,2,2,83,5,9,4,0.301,0.377,0.448,0.825,0.376,132.4,4.13,1.7,1.85,10.7,15.3,0.7,0.147,0.076,0.345,5.5,9.47,82.9,6.31,19.1,0.379,84.5,6.43,20.7
38,로하스,23두,LF,122,464,403,52,102,24,4,19,191,65,0,1,55,3,2,68,5,0,3,0.253,0.345,0.474,0.819,0.372,134.3,3.04,1.21,4.1,11.9,14.7,0.81,0.221,0.092,0.26,3.8,0,69.6,6.07,15,0.382,73.4,6.39,18.8
39,손아섭,23N,DH,140,609,551,97,187,36,3,5,244,65,14,3,50,2,2,67,10,1,5,0.339,0.393,0.443,0.836,0.39,140,4.39,2.67,0.82,8.2,11,0.75,0.103,0.054,0.376,5.4,7.37,99.9,7.04,28.2,0.391,100.4,7.08,28.7
40,에레디아,23S,LF,122,523,473,76,153,29,0,12,218,76,12,8,39,9,4,75,13,1,1,0.323,0.385,0.461,0.846,0.391,140.7,4.12,3.78,2.29,7.5,14.3,0.52,0.137,0.062,0.364,3.6,12,86.5,6.81,24.9,0.392,86.7,6.82,25.1
41,전준우,23롯,DH,138,559,493,80,154,21,3,17,232,77,9,2,52,7,4,65,12,0,7,0.312,0.381,0.471,0.852,0.391,140.8,3.6,2.65,3.04,9.3,11.6,0.8,0.158,0.069,0.328,4.7,11.77,92.2,6.91,26.3,0.392,92.7,6.95,26.9
42,김혜성,23키,2B,137,621,556,104,186,29,6,7,248,57,25,3,57,3,3,77,6,0,5,0.335,0.396,0.446,0.842,0.392,142.1,6.19,2.5,1.13,9.2,12.4,0.74,0.112,0.062,0.375,7.1,10.94,103.2,7.26,30.1,0.394,103.9,7.31,30.8
43,박건우,23N,RF,130,533,458,70,146,34,2,12,220,85,7,5,56,9,0,71,14,1,9,0.319,0.397,0.48,0.877,0.403,148,4.25,2.5,2.25,10.5,13.3,0.79,0.162,0.078,0.349,3.5,8.84,93.3,7.39,30.5,0.402,92.9,7.36,30.1
44,양의지,23,두C,129,509,438,56,134,23,0,17,208,68,8,0,57,11,8,56,20,0,3,0.306,0.397,0.475,0.872,0.399,151.9,5.4,0.59,3.34,11.2,11,1.02,0.169,0.091,0.318,2.7,10.88,87.5,7.22,27.5,0.408,91,7.52,31.1
45,홍창기,23L,RF,141,643,524,109,174,35,2,1,216,65,23,23,88,22,3,83,6,3,6,0.332,0.444,0.412,0.856,0.407,152,5.17,4.72,0.16,13.7,12.9,1.06,0.08,0.112,0.388,4.9,1.92,114.5,7.96,38.7,0.408,115.1,8.01,39.4
46,구자욱,23삼,RF,119,515,453,65,152,37,1,11,224,71,12,4,53,4,2,81,5,2,3,0.336,0.407,0.494,0.902,0.414,153.2,4.78,3.58,2.14,10.3,15.7,0.65,0.159,0.072,0.387,4.4,11.48,94.6,8.11,34,0.41,92.9,7.96,32.2
47,최형우,23K,DH,121,508,431,64,130,27,1,17,210,81,0,0,65,8,1,83,5,0,4,0.302,0.4,0.487,0.887,0.409,153.8,3.68,4.06,3.35,12.8,16.3,0.78,0.186,0.098,0.337,2.6,0,91,7.93,31.2,0.411,92,8.01,32.2
48,오스틴,23L,1B,139,583,520,87,163,29,4,23,269,95,7,3,53,3,2,75,11,0,7,0.313,0.376,0.517,0.893,0.405,154.4,5.22,2.92,3.95,9.1,12.9,0.71,0.204,0.062,0.326,4.7,10.73,102.6,7.33,34,0.412,106,7.57,37.3
49,최정,23S,3B,128,552,471,94,140,31,0,29,258,87,7,3,59,15,6,87,12,1,6,0.297,0.388,0.548,0.936,0.418,155.8,5.78,2.8,5.25,10.7,15.8,0.68,0.251,0.091,0.308,3.5,11.28,103.2,7.9,38.2,0.414,101.3,7.75,36.3
50,노시환,23한,3B,131,595,514,85,153,30,1,31,278,101,2,1,74,4,5,118,13,0,3,0.298,0.388,0.541,0.929,0.418,159.3,6.93,4.25,5.21,12.4,19.8,0.63,0.243,0.091,0.332,2.7,3.76,111.2,7.94,41.1,0.419,111.7,7.98,41.6
